mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit,ra,dec
60311.866466458334,,,9.699109643744498,76.14824358871019,17.446511584163495,10.70320307619331,41.27474863916053
60473.19232773148,17.55086635010468,0.1291223669577419,346.4602863214316,41.20316890109239,18.105863415255666,10.70320307619331,41.27474863916053
60476.18052506366,,,28.906846554621705,34.39008629148178,18.301167238294138,10.70320307619331,41.27474863916053
60480.18081086227,,,107.47137509919408,29.898950490062795,18.454201362228336,10.70320307619331,41.27474863916053
60482.18611661458,,,214.86081333243385,52.73743592814586,17.842027778772135,10.70320307619331,41.27474863916053
60485.12048553241,,,76.0461040886004,42.85359450429574,18.065942418933133,10.70320307619331,41.27474863916053
60487.14960461227,,,90.58143970256344,37.72660471634888,18.2019094316747,10.70320307619331,41.27474863916053
60489.1442446412,,,10.331787096698752,35.45386520880552,18.26880004616055,10.70320307619331,41.27474863916053
60491.176164623845,,,71.07880268361681,30.79619190843357,18.42040104872639,10.70320307619331,41.27474863916053
60494.20765918403,,,85.4663917154155,37.88549024597184,18.19708872385105,10.70320307619331,41.27474863916053
60498.16791548611,,,126.8829553112118,33.12063710593286,18.34008074630809,10.70320307619331,41.27474863916053
60503.11344564815,,,-60.00148143549256,38.8231606518584,18.16857304614732,10.70320307619331,41.27474863916053
60506.140892934025,,,40.62696800216177,35.75387074031245,18.25695841346292,10.70320307619331,41.27474863916053
60509.1256634375,,,57.43538541541842,32.514738772596814,18.3616593162186,10.70320307619331,41.27474863916053
60512.0823823206,,,203.1818056457868,52.617399752445074,17.844264295437327,10.70320307619331,41.27474863916053
60514.07410218172,,,113.6625134936128,46.85551692339472,17.969776540383346,10.70320307619331,41.27474863916053
60519.1063464294,,,44.91476939876401,35.692488992681696,18.26153522814132,10.70320307619331,41.27474863916053
60521.12521428819,,,111.70385077141296,33.08817087085929,18.34515769056591,10.70320307619331,41.27474863916053
60523.18882719908,,,75.68438590522138,38.165322065710015,18.18953605959124,10.70320307619331,41.27474863916053
60529.20429486111,,,121.39775434412708,43.3029003061305,18.05397845081475,10.70320307619331,41.27474863916053
60531.14558696759,,,96.63867804736168,33.18081929549382,18.340531452961493,10.70320307619331,41.27474863916053
60534.14271947338,,,-4.471622647608176,32.91279666792047,18.346231256000863,10.70320307619331,41.27474863916053
60551.08546795718,,,-88.18905327732233,35.32255602650616,18.272414982348373,10.70320307619331,41.27474863916053
60553.1254970544,,,-25.758640248966348,33.6527982893155,18.32422209590484,10.70320307619331,41.27474863916053
60555.01130561921,,,93.8380078568012,32.40364693329614,18.367404750251524,10.70320307619331,41.27474863916053
60557.11870799769,,,206.01771661151932,42.26532457984813,18.07841581703768,10.70320307619331,41.27474863916053
60560.21886655672,,,-16.43519543477596,36.17954910293184,18.24669721047403,10.70320307619331,41.27474863916053
60563.04641826389,,,24.14414652315545,42.68815892573904,18.06982572355813,10.70320307619331,41.27474863916053
60565.15830639468,,,95.24755148437151,43.46385546414538,18.049771256067835,10.70320307619331,41.27474863916053
60568.063935711805,,,57.98825496686473,37.81644618761994,18.200496644650865,10.70320307619331,41.27474863916053
60571.05737807292,,,142.84113144764638,51.0663186856271,17.87681536142363,10.70320307619331,41.27474863916053
60574.0674759375,,,-37.1148228151959,40.613760134996085,18.12226110403304,10.70320307619331,41.27474863916053
60576.02906848958,,,13.2960958028179,35.044620014146986,18.283022503614774,10.70320307619331,41.27474863916053
60578.09513019676,,,7.019312572861013,34.7904945127037,18.288959459969615,10.70320307619331,41.27474863916053
60580.218613952544,,,39.73795039136669,33.68956353354675,18.322339225746006,10.70320307619331,41.27474863916053
60582.165904253474,,,39.62667708887275,38.26732758151613,18.18603430627004,10.70320307619331,41.27474863916053
60585.04388186921,,,67.79237556928227,40.65455177929108,18.122211834521227,10.70320307619331,41.27474863916053
60589.21240856482,,,168.86204029716654,59.54056753853211,17.708604919800543,10.70320307619331,41.27474863916053
60592.18063631944,,,44.81431140554042,44.94557001403125,18.012560726708564,10.70320307619331,41.27474863916053
60595.06061021412,,,-6.439249887718318,41.23725671990044,18.10662079933704,10.70320307619331,41.27474863916053
60602.0175204919,,,-136.22747138068638,48.11680987528937,17.94076792623792,10.70320307619331,41.27474863916053
60605.080493009256,,,-9.956126274514224,51.99504176579156,17.85614038244029,10.70320307619331,41.27474863916053
60607.18837106482,16.5803949914678,0.0656398806722042,846.9192483694904,51.20182799315465,17.871298513429107,10.70320307619331,41.27474863916053
60608.06478112847,17.52265539123909,0.1259684519677835,355.5804240361924,41.25487882746394,18.10196056279046,10.70320307619331,41.27474863916053
60613.0010016956,,,186.32055721262523,38.70184048029127,18.17352924038625,10.70320307619331,41.27474863916053
60615.09082873264,17.786584985853693,0.1588632934750961,278.84701874920194,40.80047766674461,18.117857955842428,10.70320307619331,41.27474863916053
60617.12022054977,,,156.14949695040656,35.58222249951847,18.263597832381212,10.70320307619331,41.27474863916053
60624.95130184028,,,70.21997950870818,41.02244009392404,18.11265098892957,10.70320307619331,41.27474863916053
60627.92463351273,,,-57.82804352299205,46.83965528355234,17.968108725544017,10.70320307619331,41.27474863916053
60647.88543583333,,,-76.43689549031976,46.010394569129545,17.986872492614967,10.70320307619331,41.27474863916053
60662.8538159838,,,-35.09145632115417,36.38242362078489,18.23970956156916,10.70320307619331,41.27474863916053
60664.97047497685,,,41.743731616088986,39.97558409498741,18.13771529924921,10.70320307619331,41.27474863916053
60683.91464083333,,,-67.13734039947157,45.01565565752486,18.00997606512176,10.70320307619331,41.27474863916053
