mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit,ra,dec
60383.11951824653,,,-0.3690422647000803,3.977355415089335,20.642423224385368,231.6607965684209,6.107453041731254
60407.05267387731,,,-6.996333956948925,4.298521180067908,20.55879466228476,231.6607965684209,6.107453041731254
60415.07709373264,,,-29.831052222045404,9.146254868568988,19.72747281677509,231.6607965684209,6.107453041731254
60416.07881355324,,,2.309626795065044,9.737732982704252,19.661120315532337,231.6607965684209,6.107453041731254
60417.05625453704,,,-22.94938685565567,13.795844365120615,19.286960261178525,231.6607965684209,6.107453041731254
60419.0378176331,,,-17.723552340116832,13.516165799424494,19.30636495821172,231.6607965684209,6.107453041731254
60420.031596863424,,,-40.53761376348032,24.32062759115477,18.678431550206348,231.6607965684209,6.107453041731254
60421.09863792824,,,-65.14270435807713,15.731404604667237,19.149171748184315,231.6607965684209,6.107453041731254
60422.03282712963,,,-24.67024565843031,15.057756712495664,19.193673307135853,231.6607965684209,6.107453041731254
60424.13265560764,,,8.806196914626021,17.022676747647306,19.0645231084416,231.6607965684209,6.107453041731254
60424.61966284143,,,-444.552926617736,268.0683531055147,16.078948412416246,231.6607965684209,6.107453041731254
60426.04285215278,,,-13.998523635700266,10.160693830551049,19.617738689698008,231.6607965684209,6.107453041731254
60426.58698276042,,,28.993645989744163,18.891530411764048,18.95405783866361,231.6607965684209,6.107453041731254
60427.04155253472,,,-13.213669658681232,9.908720601409186,19.64468447808641,231.6607965684209,6.107453041731254
60427.58874303819,,,28.860013033631827,15.806879790712628,19.14588145308958,231.6607965684209,6.107453041731254
60428.60816579861,,,17.84664139775135,9.714120951997469,19.663168558663216,231.6607965684209,6.107453041731254
60443.01516909144,,,23.571085912573604,6.996198032191231,20.01490308712533,231.6607965684209,6.107453041731254
60444.04007407407,,,12.803024559738375,9.614478744765856,19.67568685483398,231.6607965684209,6.107453041731254
60445.99394842592,,,-29.257831583154648,10.739802307553092,19.558626674009982,231.6607965684209,6.107453041731254
60446.98829875,,,-26.249974928887937,13.759452921524352,19.2916920992844,231.6607965684209,6.107453041731254
60449.01309127315,,,-9.004366491581056,8.9060908955716,19.75847891488635,231.6607965684209,6.107453041731254
60449.97590558449,,,-4.667977002646,17.23622449672856,19.050978486878726,231.6607965684209,6.107453041731254
60451.02236274305,,,14.61229778134849,26.313289152776463,18.594571969474227,231.6607965684209,6.107453041731254
60451.992826041664,,,-530.6773882465991,189.96781326349853,16.449429117565767,231.6607965684209,6.107453041731254
60452.98692905672,,,-0.8848296241481896,19.06608561216045,18.942540380632806,231.6607965684209,6.107453041731254
60453.98429266204,,,-13.76073492344105,10.290144031703433,19.604680974626262,231.6607965684209,6.107453041731254
60456.57572494792,,,16.175218795587735,12.038865879181795,19.438298421111437,231.6607965684209,6.107453041731254
60459.974031753474,,,1.5141753411470027,8.875232822254867,19.7622746430909,231.6607965684209,6.107453041731254
60460.9765090162,,,-14.219509418872084,8.610213210889851,19.793267856884423,231.6607965684209,6.107453041731254
60466.97168987848,,,-3.864308756122663,4.90011750630642,20.391587520953426,231.6607965684209,6.107453041731254
60469.96924445023,,,2.726766963787989,8.315464853054742,19.83213905707623,231.6607965684209,6.107453041731254
60474.98596112847,,,6.013753741299875,10.806455727354948,19.55172402521689,231.6607965684209,6.107453041731254
60477.00903824074,,,0.4137241613409417,8.976157269175324,19.749836055717378,231.6607965684209,6.107453041731254
60480.9721250868,,,7.869163140530422,18.636972157362447,18.967161180813665,231.6607965684209,6.107453041731254
60482.98365943866,,,11.527662214465632,30.56676811223449,18.4329295493612,231.6607965684209,6.107453041731254
60489.05758616898,,,-0.1792518682806754,11.356635348315391,19.49766194734076,231.6607965684209,6.107453041731254
60492.97070290509,,,0.5056706829308529,8.253801072128246,19.83861614579473,231.6607965684209,6.107453041731254
60495.9458151331,,,-6.135892971124815,7.594890046013807,19.92706304405513,231.6607965684209,6.107453041731254
60499.92582177662,,,11.669130871842109,7.657054444790637,19.919876449739828,231.6607965684209,6.107453041731254
