mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit
60215.23889729167,16.35638955658237,0.0199874807082146,1040.9842946889703,19.163636080723062,18.9369386933954
60215.24927997685,16.33573133812629,0.0163790733459075,1060.980653349587,16.005618918891155,19.131553848189576
60236.25850329861,18.51874448648924,0.0705368950727052,142.06994273397754,9.22984109740012,19.72020349432109
60243.16564866319,18.87979009996114,0.19552757326016,101.87883263518388,18.347109384800454,18.983264936844712
60243.175737899306,19.19764446026069,0.2091002483176514,76.0225120116854,14.641057440758638,19.22709404466097
60245.2006568287,,,40.03968607036591,18.867950202686284,18.95341268233024
60250.17918678241,,,39.481483958878826,16.6427354504658,19.08873554214655
60250.18922103588,,,43.65381546255527,14.14567895729754,19.264505789568464
60276.10578248843,,,7.742643378460972,13.671961240119856,19.29969411941365
60276.117604276624,,,2.290753403510418,19.88380359777023,18.89695667392738
60276.145343634256,,,-16.182341835608373,11.831856508509624,19.45531630502105
60277.15029360532,,,-19.12053035157737,19.42750340843988,18.922221603743893
60283.71435547453,,,-21.098818995460213,3.373936083024798,20.79186701620428
60284.7353120081,,,-21.883053699429297,3.314278339118799,20.8090870954467
60303.68983108218,,,-19.974211655085504,4.344012850331578,20.52660641859108
60304.647951956016,,,2.507306295849697,14.788931102382758,19.218525336205072
60305.00219693866,,,17.576790320389218,35.236905621667674,18.279989947562427
60305.015434664354,,,65.97737266025909,29.05670115374446,18.48860944030765
60305.64395503472,,,-75.54150587451754,16.146192842217037,19.12377016455123
60306.01880278935,,,-14.023479748987674,30.271078131961666,18.44392262099607
60306.028382592594,,,-56.47544099302103,38.68728613457359,18.17766912831376
60311.17445625,,,-4.112044937578558,12.785292342889129,19.37203680113187
60312.69097394676,,,-18.763258588758728,5.290360457487169,20.314548920838345
60313.126044641205,,,11.459387987243865,8.859753857498584,19.76415853969729
60313.20904129629,,,-1.634569147280147,6.15284448564274,20.149845025309663
60328.99043911458,,,-23.535822337083506,21.266198657730797,18.825535091626858
60329.00381741898,,,32.63687820380338,16.50331804706507,19.098639605654306
60331.9787529456,,,2.351836070823806,21.136371952162037,18.831538138065177
60331.99282430556,,,40.789870651421936,19.5748692397424,18.91360319056003
60332.604259340274,,,-35.16171958862968,17.39777037613511,19.04312435572208
60337.04222467014,,,14.358915184419484,31.216507729277076,18.410681737271798
60338.04043453703,,,12.121439012830884,22.489441026198005,18.764767722500697
60338.05041618634,,,-18.76418431907975,20.189970272191143,18.881273450710093
60339.01915564236,,,-23.02151115625965,14.60123386846236,19.229614042667617
60340.103765283566,,,-1.8711740536265065,13.633129528046462,19.302121817543807
60340.93933960069,,,-36.607103963052616,12.809223469732318,19.353576043590884
60341.50639664352,,,-13.285993139492955,7.483200702516937,19.94118596307812
60341.51701166088,,,-30.73345687793913,3.846247750888809,20.63720403628116
60341.67810834491,,,-18.92583326283694,12.992242664390943,19.354676154921616
60341.68698962963,,,-35.15944883562664,14.692256081139949,19.22053593536641
60341.930008721065,,,-7.207258258819506,11.963195051929214,19.43600367673906
60342.100533686345,,,-5.734623678426558,13.671265442419378,19.2945551144901
60342.49334359953,,,-38.182899331395824,4.269338514631857,20.53057629436886
60342.67202769676,,,-20.598818323219845,12.258261556845552,19.41737578643493
60342.676977766205,,,-32.06259109098038,13.51678906683479,19.31020290884542
60342.92767035301,,,9.402756184648965,19.53362575271544,18.904546268701264
60343.09756091435,,,4.561719362048748,12.306272600550656,19.40678107165974
60343.494138333335,,,-31.28170511852374,3.8441512405176974,20.63705562618617
60343.65579283565,,,19.73687000263236,18.33560011597136,18.976572273988044
60343.66547482639,,,-22.66549772748701,9.191186358561836,19.68982982458017
60344.97509195602,,,-19.23293557699065,13.235059744985442,19.325278685331156
60345.92357021412,,,-46.85940339166485,17.517698661076626,19.00271882489333
60345.92909597801,,,-23.49233543635878,15.653926392126053,19.14309944085554
60346.094607997686,,,8.928083577717388,10.004582698638568,19.62746028546778
60346.10017971065,,,5.483218687204646,7.851161500226419,19.88631999601581
60346.92356892361,,,7.244121733786245,11.23738708166174,19.503814235895987
60346.92920095486,,,4.417132965441045,10.197941679473455,19.608803402406902
60347.09369637731,,,20.10075553056481,9.872198038611073,19.6424871485724
60347.09930701389,,,-3.187437190062039,10.52604400204958,19.57551675216115
60347.93835456597,,,-7.70433365005459,11.083107470071518,19.51882502819756
60347.94390402199,,,-9.01992448117887,10.657294580697805,19.56268319236648
60348.1091589294,,,-18.781479362277864,29.9940256847508,18.4337209287432
60348.92346699653,,,13.112514085754997,13.478050334992432,19.309610077793717
60348.92617293403,,,14.192507626968249,13.87847215738745,19.277894852721325
60349.49364831597,,,-26.5283132188692,11.642787201138216,19.469316403445585
60351.03398574074,,,-25.007571116894344,7.063612549618329,19.99645899333889
60351.92275796875,,,-5.58833028545246,11.286740653793492,19.49941827700308
60351.92541151621,,,-5.456116316048808,9.96502569070713,19.63304266612188
60352.09449699653,,,-10.88373721453462,10.777181772632654,19.54921715968696
60352.0971957581,,,-1.4631048689648474,8.252017761645176,19.833711427360424
60352.471602621525,,,-9.91708894959976,9.21994187326862,19.71943609166047
60352.48242869792,,,-36.23751464312854,12.34847015348686,19.40382906899312
60352.94463305556,,,9.379562558710568,22.252157493056973,18.75722366019247
60353.1208240162,,,-8.280291018732195,12.418853509102844,19.39831935395304
60353.48419254051,,,-29.658707261152216,3.76857388295357,20.65924640790901
60353.64572843172,,,-11.151696511294448,7.875689391027144,19.88976886876253
60353.91822420139,,,-10.489628437533352,13.868031986460409,19.28044908617129
60353.92374938657,,,20.617280348818795,12.79983785263554,19.36710418544514
60355.95045052083,,,-9.798568282321794,10.335663748444825,19.59911702559131
60355.96702652199,,,11.466762944423165,9.187561307598155,19.72645419191516
60356.89984522569,,,3.639010094059548,10.220550739475753,19.619148695524117
60356.94679554398,,,-6.1933088248764765,12.243424062140337,19.422600907065608
60356.99459530092,,,-1.5110676102156562,7.94385930026939,19.890559259418225
60357.6168145544,,,-1.75909078988802,4.637456975998123,20.471084651189525
