mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit,ra,dec
60372.6776525463,,,-14.884055865595997,9.343774297370611,19.711362331751133,209.8377392730261,-40.073413990693375
60394.58491194445,,,43.11652657835404,21.87253830587785,18.79639469701709,209.8377392730261,-40.073413990693375
60403.64034738426,,,-24.44144980412816,22.559883280361408,18.73828450681664,209.8377392730261,-40.073413990693375
60416.56707434607,,,-1.658798300496703,4.812462385065692,20.41599956555728,209.8377392730261,-40.073413990693375
60418.5967799132,,,-2.258066858429556,5.123592589557481,20.350440516525428,209.8377392730261,-40.073413990693375
60427.50033261574,,,-30.547406434687147,9.374384634753476,19.707461816461503,209.8377392730261,-40.073413990693375
60428.50840355324,,,1.601891955108886,10.43032764672588,19.572512932676425,209.8377392730261,-40.073413990693375
60429.60774506366,,,-3.422509690843082,6.342110759737362,20.11823284914801,209.8377392730261,-40.073413990693375
60444.48527287616,,,15.469031270754437,9.44630279832564,19.69440765835784,209.8377392730261,-40.073413990693375
60445.51336001157,,,-2.68810264773595,7.061311504581458,20.003360323823653,209.8377392730261,-40.073413990693375
60447.51122224537,,,-0.8998521267567955,5.3798671114113805,20.290252480747025,209.8377392730261,-40.073413990693375
60449.42360540509,,,-27.211201750093597,20.730912625028733,18.854155070048343,209.8377392730261,-40.073413990693375
60450.419571875,,,35.69797275523977,11.869622168067808,19.45477974740763,209.8377392730261,-40.073413990693375
60456.44563892361,,,-3.940769094635969,6.300674416159786,20.12280705023588,209.8377392730261,-40.073413990693375
60457.46577530092,,,3.445154317041375,8.189377672342406,19.851860608105103,209.8377392730261,-40.073413990693375
60458.44194130208,,,7.112653453835252,5.192619275036768,20.321392009081737,209.8377392730261,-40.073413990693375
60486.40498414352,,,-9.333708591575304,5.911006941422304,20.199302806278855,209.8377392730261,-40.073413990693375
60488.61322600694,,,38.10280375125663,14.006935839895773,19.27509809891124,209.8377392730261,-40.073413990693375
60514.45578130208,,,2.7581546741813416,11.814718297205744,19.459027387825603,209.8377392730261,-40.073413990693375
60521.370696701386,,,-1.4019484137704594,6.085669682316978,20.16784147692179,209.8377392730261,-40.073413990693375
60523.40982731481,,,8.596502692234537,6.38872712081829,20.11514638472163,209.8377392730261,-40.073413990693375
60530.46713936921,,,-128.66904444681043,252.06363543532908,16.12120842502109,209.8377392730261,-40.073413990693375
60541.42688962384,,,16.911823498485333,17.36265529180636,19.0447281636294,209.8377392730261,-40.073413990693375
60545.42408682292,,,12.495245501478667,9.107312729439029,19.73702689140852,209.8377392730261,-40.073413990693375
60551.39444626158,,,7.176618748227464,8.682867013160513,19.78881195194952,209.8377392730261,-40.073413990693375
60554.36377808449,,,4.645350672455493,12.498513327591397,19.39830647115255,209.8377392730261,-40.073413990693375
60557.37456748843,,,-12.936052573700517,8.105795849517618,19.86102794628743,209.8377392730261,-40.073413990693375
60559.368616614585,,,4.19295724514998,12.504922419623114,19.39721434105307,209.8377392730261,-40.073413990693375
60566.3712850463,,,72.16750884633977,26.514035787269155,18.586657306510705,209.8377392730261,-40.073413990693375
60570.3848051794,,,-14.19586962233435,28.33832265160117,18.515010025241068,209.8377392730261,-40.073413990693375
60574.37802958912,,,29.729130969954745,12.382475039998262,19.404920346726463,209.8377392730261,-40.073413990693375
60664.73246690394,,,6.188080390226216,12.348023116844772,19.40959326796659,209.8377392730261,-40.073413990693375
60666.727003078704,,,12.497743340630716,16.220965035423934,19.11519513549324,209.8377392730261,-40.073413990693375
60667.73605779514,,,-1.8574495518837029,11.215896625329185,19.514308873546508,209.8377392730261,-40.073413990693375
60671.71825793981,,,-4.536639757384026,11.021921492240178,19.53323025266851,209.8377392730261,-40.073413990693375
60695.62169559606,,,-1.8541625141676603,0.0,23.397251043452755,209.8377392730261,-40.073413990693375
60695.65374531829,,,-12.26177208180476,13.486770623039792,19.315118151951157,209.8377392730261,-40.073413990693375
60695.66481502893,,,-5.747365888175403,12.65747967189596,19.38331720701927,209.8377392730261,-40.073413990693375
60695.70138134838,,,-10.711329114801533,13.016861931174702,19.353962843874715,209.8377392730261,-40.073413990693375
