mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit
60382.58677952546,,,10.509472429623164,9.980587890257638,19.62354579908288
60383.10122050347,,,-9.713756573996482,6.004767160123135,20.19556486450233
60410.4998425926,,,2.070554779256005,2.909027602270281,20.98038945921577
60410.51104094907,,,6.180684254191716,3.4116824611983305,20.810242086527904
60412.03341713542,,,-12.75001890774205,10.1480580742199,19.626454928888677
60426.52591814236,,,-0.2538560220556132,0.0,23.58673486844806
60427.52171409143,,,0.8836266998292573,10.542641947501377,19.58334958376321
60427.5252345544,,,0.7488412898519978,0.20017869683906,23.218817373669623
60428.53278089699,,,4.97821093022845,8.070642297537574,19.86954479260509
60428.53995854167,23.19730100053781,0.1819866225664557,1.910203338633073,0.3201804015464722,22.94648269908603
60429.98159604167,,,2.2152179403393184,7.172783734090409,20.003519736226323
60429.98285861111,,,-3.687044449722752,5.313988435243415,20.3301125779961
60434.95908020833,,,2.067404284965178,5.221484826246655,20.344849027421663
60444.51105141204,,,29.65713892008444,7.565434084296582,19.93850842913843
60445.54287902199,,,-40.86731258909548,22.98262546331853,18.728341836127612
60446.50995851852,,,44.1494446977113,50.75828807907276,17.876223295858686
60446.52424287037,,,1.71923589101197,0.3666715601243632,22.687397638195733
60455.46279061921,,,0.6724475954521454,0.178098757865846,23.351283851685277
60455.90539475116,,,-3.7252608251597232,6.196655697830023,20.1574063889228
60455.99584131945,,,-22.25884613185588,12.513417369672505,19.401803034137288
60456.04312523148,,,-28.97748074006793,14.996644995009248,19.20617006611371
60456.54307482639,23.61807982249336,0.1470494728957461,1.2964867151694257,0.175593009836558,23.68036822643469
60457.05407762731,,,24.500066686289912,17.386330133354846,19.043886632789125
60457.48824111111,,,21.98997807171845,8.359839533057986,19.82738543919996
60458.49054537616,,,3.6344047881236063,6.906532868488544,20.02922282064412
60474.90433374421,,,-3.244381324249779,13.219273661532544,19.33577542536587
60481.89237939236,,,13.415532572651944,60.40047830872806,17.695822416483857
60483.89291461805,,,36.64586340147387,21.506629755934487,18.807832885102783
60485.91950012732,,,-16.23041596950091,9.092308982340583,19.73560024510873
60487.91319074653,,,8.650480001357687,12.03661672130733,19.428804686514027
60490.95662154514,,,-2.036912666257524,9.64496829325335,19.671921276887375
60492.92627248264,,,-0.4940344292406268,12.351504364553026,19.40119845033998
60495.90972086227,,,6.233816942780446,9.211964207934413,19.72174847209538
60497.97680509259,,,-3.813196514497114,14.179914614542122,19.25308958681397
60508.91060418403,,,25.573640183765225,29.744660140005017,18.462834267939325
60510.8860119676,,,26.70262432406775,46.74741200418338,17.970641232434417
60512.936137934026,,,-36.08149280929228,38.22715449385962,18.18878319329856
60529.88222425347,,,-17.72903064134151,12.32420244439674,19.40897243813684
60563.37990003472,,,3.00512246087701,20.29871906872599,18.875271468475205
60663.28417730903,,,83.9515105750179,67.75611387031773,17.566183558628076
60673.26189017361,,,4.138373401948132,24.009030719590847,18.686439259057387
60675.27597514468,,,-44.233696466251146,27.12579769563051,18.554701571668065
60679.286364907406,,,-7.197517516176834,12.534674387827929,19.390760422552763
60681.28251903357,,,3.279954648085377,12.513361716728236,19.39303291500621
60683.27678009838,,,-17.672508031726686,16.82951638644988,19.06912474751514
60685.22915965856,,,-4.959142437929199,11.949039140967912,19.44170761094261
60687.238372962966,,,-17.871875099710316,23.96802212793155,18.694947321595645
60691.25574510996,,,83.2623063867248,33.86854835786448,18.318988178560076
60694.24810092014,,,-20.75668158079247,19.98303220901925,18.89097711697152
60700.22937446181,,,10.592502763922615,14.573320242759095,19.228161624346363
60702.18275331597,,,11.909692094578704,16.33640944637333,19.10058748275917
60703.68617225695,,,19.289849671021077,7.165545785785546,19.99117104881934
60709.20680589699,,,43.07670169498907,18.491079203165334,18.96751750367851
60712.21487449653,,,14.977257734025434,19.67930690145817,18.89714102339749
60714.1465685243,,,62.379872913327695,17.36051369504389,19.041649068510328
60718.13430872685,,,111.64024878047928,30.28126735389486,18.44275431987877
