mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit,ra,dec
60171.05843289352,18.8572474702443,0.1620873157804876,104.01620674316403,15.528364693727404,19.14972819891873,3.537184750496001,15.181925863582675
60171.14527976852,19.156313370373063,0.2047917201044963,78.97227548827489,14.895762034031842,19.1949987929761,3.537184750496001,15.181925863582675
60171.231608368056,,,72.67336931477872,14.747418202356128,19.205214022835904,3.537184750496001,15.181925863582675
60172.04379785301,18.70883125526701,0.1324831770496242,119.25250152955932,14.55137095411748,19.218197118291688,3.537184750496001,15.181925863582675
60172.13134807292,18.9845844691304,0.1594328129021402,92.50521403731116,13.583747523063009,19.293867754009867,3.537184750496001,15.181925863582675
60172.22387755787,,,33.33574779051813,13.737563424513912,19.281467053410065,3.537184750496001,15.181925863582675
60173.04778605324,18.610702839956765,0.1097561041691186,130.532562570771,13.195420279985155,19.325585008213125,3.537184750496001,15.181925863582675
60173.13525171296,18.98080175895125,0.1474616285332509,92.82806472973306,12.607645889165026,19.37548111284612,3.537184750496001,15.181925863582675
60173.22190515047,19.232297254528653,0.197122288366818,73.6344586317085,13.368802591756342,19.312764436919096,3.537184750496001,15.181925863582675
60174.02758885996,,,-21.248851153530765,9.701082274187804,19.66268488085725,3.537184750496001,15.181925863582675
60174.114077077546,,,1.975121163117348,6.41689283882338,20.10108259410225,3.537184750496001,15.181925863582675
60174.20176675926,,,55.23762892334867,11.12358246230129,19.511092252107492,3.537184750496001,15.181925863582675
60175.01861328704,,,-14.287677259142145,12.028011858021792,19.429073406228063,3.537184750496001,15.181925863582675
60175.10562563079,18.91221322406815,0.1487515440575356,98.88142360617717,13.547272694386017,19.298069227774253,3.537184750496001,15.181925863582675
60175.194315243054,19.363458576312294,0.2105546227074732,65.25541702997324,12.65485083038718,19.37052895488289,3.537184750496001,15.181925863582675
60179.95837050348,,,-14.181501209596936,17.018178263887517,19.059261999157805,3.537184750496001,15.181925863582675
60182.98242430556,,,87.66211632407271,29.013214173400108,18.48326330307291,3.537184750496001,15.181925863582675
60184.97433482639,,,-24.141728354721923,18.65390495533009,18.96611017167902,3.537184750496001,15.181925863582675
60186.95054428819,,,65.42214707477541,78.40289420381073,17.413708784960402,3.537184750496001,15.181925863582675
60191.955364837966,18.994274698831827,0.167407443927514,91.6832754687052,14.13645665480712,19.259853530148614,3.537184750496001,15.181925863582675
60194.12107333912,,,-5.086311726167319,5.463030178691304,20.28012436043061,3.537184750496001,15.181925863582675
60196.22251223958,,,-16.985220689466193,10.805502145198256,19.552539920475404,3.537184750496001,15.181925863582675
60208.91113397569,18.729873663228187,0.1235456662485652,116.96354824328246,13.309254523507072,19.323684419025643,3.537184750496001,15.181925863582675
60211.90105270833,18.475944095087627,0.1228861888501657,147.78227977922927,16.726347580629874,19.079355381642117,3.537184750496001,15.181925863582675
