mjd,forced_mag,forced_mag_uncert,forced_uJy,forced_uJy_uncert,forced_mag_sigma_limit
60276.235260225694,,,8.56578040926414,21.98979145484441,18.788439534115724
60277.23685226852,,,0.6014207825299838,0.2020068491748556,23.060336198795707
60277.23685234954,,,5.608902368953906,14.432431212946003,19.24320795259045
60280.22566560185,21.66907969843774,0.1105119250438054,7.804913974127926,0.7944250770142852,22.129060731894544
60280.22566571759,,,50.72317039501835,21.20414534414621,18.82715007157161
60304.159394456015,,,39.12060899155101,23.433511999542265,18.719483897167336
60304.2350245544,,,31.92685006890481,18.46867250471878,18.97640818796641
60305.132602488426,23.197822141908546,0.2093895710557118,1.909286682166237,0.3682153341199781,22.73225955806778
60305.13260254051,,,11.455086659774343,24.82235265033248,18.658494133751887
60305.72499311921,,,,,
60305.724993177086,,,,,
60306.14080726273,,,80.54638018615188,43.98267430472894,18.035954475242217
60307.12547032986,,,21.714567533040093,22.400144678887223,18.767750552003
60308.117778402775,,,41.76168936518098,22.63137864775753,18.75640069608389
60309.11717601852,,,25.07464214962128,22.720691487024546,18.75252288477464
60309.23625545139,,,32.495266633522164,16.867700503804976,19.073773373247928
60314.19899390046,16.17975897805242,0.07718156560364,1224.8880812780465,87.07343403302907,17.29288083847805
60315.208547853006,22.07494436363204,0.1295971512877577,5.370593161895608,0.6410521924726953,22.315974050945748
60315.20854791088,15.398338890840726,0.0071662218944545,2515.7324035010006,16.604674829438686,19.09069868811656
60329.10407969907,22.1123845140722,0.1252998930582839,5.188552247928132,0.5987872919256135,22.40033449319908
60329.10407974537,12.79195094566471,0.0017124733989607,27747.2292100692,43.76421428048118,18.04584839145244
60330.15820737268,22.307392446331875,0.1386326374147272,4.335538243576422,0.5535848382741457,22.45366429893054
60330.15820745949,12.77755748761367,0.0016976621112319,28117.519496777462,43.96468249130444,18.04088344791146
60332.09329532986,22.870116570688698,0.1790458093797576,2.581982959674883,0.4257877989089598,22.643775456527308
60332.093295422455,12.799159562529988,0.0017092162355507,27563.61498687583,43.391919731123465,18.055328981617382
60336.1003626794,12.946187648397926,0.0021048171452144,24072.707597001696,46.66754913380766,17.976167779625666
60341.73674314236,,,,,
60341.73674332176,,,,,
60341.736743385416,,,,,
60342.06759607639,22.17888814378988,0.1541523128448093,4.880280029894924,0.6928998504809277,22.173183222741557
60342.06759615162,13.338458541908318,0.0024769977169397,16773.22540516382,38.26642314425069,18.190015534380688
60342.179496655095,13.32526024971724,0.0022782857774024,16978.366341978963,35.62704309844411,18.26797794382998
60342.24014308449,22.022716096200007,0.1330887938184097,5.6352548508426255,0.6907656460853338,22.226525352436543
60342.24014313657,13.33302574294157,0.0023578910243424,16857.365483301706,36.60910504130442,18.23825711415665
60343.081431510414,,,1.8469819684473892,0.4216555682784618,22.50000704332637
60343.08143155671,13.38943308474724,0.0024380482190051,16003.93453119217,35.93724139423041,18.258073585214504
60343.18712878472,13.41556979123486,0.0028344795482285,15623.275224749405,40.78693692522102,18.120280789125484
60343.25343081597,22.49313432764432,0.191590582168127,3.6538125986316174,0.6447570596220622,22.16442311922388
60343.25343090857,13.410774284320144,0.0029400491835551,15692.433115537704,42.49331003897828,18.07548655845537
60345.08099983796,22.058111210730857,0.1455363596595773,5.454507154093698,0.7311436345818091,22.135214387185933
60345.08099989005,13.513376230949383,0.0026163911611101,14277.412512351257,34.40549899426145,18.304999126057798
60345.25214219329,21.771212123732337,0.1274842859240168,7.104199528063858,0.8341563999873396,22.035153778252205
60345.25214226273,13.5222275926315,0.0027439293352152,14161.490421674078,35.78965942934373,18.26189679169981
60346.0358316956,13.572424966966611,0.0031955737997576,13521.660054235332,39.79738578227607,18.14558226040073
60346.20770744213,13.556681101132472,0.0028273040047206,13719.161214565414,35.72528877029589,18.263560519439743
60347.04089009259,13.60338864938199,0.0030461702795813,13141.487922178458,36.87010690311789,18.228888470847966
60347.21207921296,13.61801555596602,0.0030385160231708,12965.634586404043,36.2853225937537,18.24626267874842
60348.06934783565,13.664888782134604,0.0054693610946084,12417.795033068993,62.5542417550858,17.65150941673329
60348.24074226852,13.677952358096755,0.0033986688791622,12269.279408275936,38.40639918970319,18.183952403468982
60351.084444375,13.7973368380581,0.0032962124961095,10991.710079148814,33.3699953614191,18.336815904975435
60351.25385317709,13.80673148388585,0.0032667951534571,10897.011430297984,32.78724976809136,18.3559315309034
60352.01706037037,13.820846288557115,0.0034787313469468,10756.264783677068,34.463394805346766,18.30141496685948
60352.18868724537,13.848314724399074,0.0039197882579655,10487.551590772911,37.86277127000432,18.198426441747
60353.03945365162,13.896656534027237,0.0034689339656272,10030.841923276495,32.04860268912508,18.38040183159915
60353.209478188655,13.901197005307434,0.0034641478512635,9988.981248798436,31.87082440254916,18.38654785995128
60356.054036319445,21.741475738908733,0.1075254053312195,7.301459900881818,0.7230968553055293,22.23844352582775
60356.05403658565,14.034710923385209,0.0029047509685785,8833.150512165832,23.631985737760317,18.71233245376028
